financial_distress_flag,purpose_clarity,income_stability_mention,repayment_confidence,overall_sentiment,loan_idx,default_flag,grade,desc_clean
1,5,0,5,negative,0,0,C,i want to consolidate my major credit cards to reduce the number of payments i have to juggle every month the small balances i can easily pay on my own
1,5,0,5,negative,1,0,B,i ll be consolidating credit card debt trying to get debt free minus the mortgage in the next 48 months
0,5,0,5,neutral,2,0,C,a loan to consolidate my credit cards into a single payment
0,5,0,5,negative,3,0,B,goal of debt free in 3 years or less
1,1,0,1,negative,4,1,D,consolidating all my debt
0,5,0,5,negative,5,1,E,have cash flowing properties i am looking to invest in more properties without apply for traditional hard money loans i have the opportunity to purchase a property that is cash flowing 600 mo
1,5,0,5,negative,6,1,C,this loan is to pay off a few credit cards and get a new apartment and get a new life started
1,5,0,5,negative,7,0,E,i am planning to use the money as a debt consolidation loan to pay off credit cards earlier lessen interest and lower monthly payments
0,1,0,1,negative,8,0,D,my wife and i have been married for 2 years but never had a big wedding so by having this loan with make both of us very happy on making a dream come true thanks
0,4,0,4,neutral,9,0,B,this loan is for debt consolidation and home improvements in an attempt to create better equity in my home
1,5,0,5,negative,10,0,B,looking to consolidate seversl high interest cc and pay the debt down faster than the minimum payment everymonth to several credit card companied ultimate goal is to only have 1 cc with a balance
1,5,0,5,positive,11,1,B,i am looking at simply consolidating some loans credit cards that are of higher interest this loan will allow me to accomplish this and have this amount paid off in 3 years opposed to working with that of credit card companies which will save thousands in the long run
0,1,0,1,neutral,12,0,B,looking to take a vacation for some golf tournaments
1,5,0,5,negative,13,0,D,i have a lot of credit card debt i pay all of them on time every month but the interest rates are so high i am just not getting anywhere i want to get rid of all of them so i can start saving money for my wedding
1,5,0,5,negative,14,0,C,after a brief bout of unemployment in 2011 and a string of unexpected extraordinary expenses in 2012 i am ready to rid myself of this credit card debt i like structure thus a short loan with great terms makes most sense to me thanks
0,4,0,5,neutral,15,0,C,this loan is for paying off credit cards and for a home improvement project
1,5,0,5,positive,16,0,A,just want to pay off debt and build a savings i am a good investment and hope to even pay off a little early this loan will allow me me to get rid of high interest rate debt and build a savings maybe one day i can be on the investor end just would like the opportunity to do so
1,1,0,1,negative,17,0,C,i took out two loan from your competitors but the interest rate is horrible
1,1,0,1,negative,18,0,A,to pay off high interest credit cards
0,1,0,1,neutral,19,0,C,payoff credit cards
0,1,0,1,neutral,20,0,B,3 year loan for home improvement
1,5,0,5,negative,21,0,A,hi 65292 i just need money to payoff my credit card s payment so lending club help me i am very appreciated thanks
1,5,0,5,negative,22,0,C,i got myself into credit card debt during college i am working hard to get this debt paid off please help i am using this for debt consolidation
1,5,0,5,negative,23,1,D,loan will be used to pay off 4 credit cards and the balance of the lease on my jeep grand cherokee
0,1,0,1,neutral,24,0,B,purchase of a used car the purchase of a used vehicle and repair on an existing family vehicle
0,4,1,4,neutral,25,1,B,debt consolidation i have stable job and want use loan for fast debt consolidation
0,5,0,5,negative,26,0,D,584421 added on 12 03 09 quozzy com inc is changing the way consumers purchase all goods and services and the way companies contractors and providers do business quozzy com inc was incorporated in the state of florida on february 1st 2009 the address that is used for all business correspondences is 6996 piazza grande ave suite 309 orlando fl 32835 quozzy com inc has designed an on line one stop market place to connect buyers and sellers that market place is buyers get competing bids and quotes for any product or service through a fast and easy transaction at quozzy com inc calls this process a request which is similar to the request for proposal rfp process used by all branches of the government and big companies when purchasing products and services this financing is required to open bigger office with an inside sales team and customer support team
0,5,0,5,neutral,27,1,E,this is for a start up real estate investment company
1,1,0,1,negative,28,0,D,consolidate credit cards pay off installment loans car atv use remaining funds for auto repairs
1,5,1,5,negative,29,1,E,due to multiple times of unemployment over the last few years for reasons beyond my control the multiple credit payments have become overwhelming now employment is solid and much room for advancement
1,2,0,2,negative,30,0,A,along with consolidating credit cards auto loan and laptop payoff i also forgot to mention unexpected medical bills
0,5,1,5,positive,31,1,B,i am a college student looking to consolidate my debt and i ve found that this would be the best way to do it i was referred by my friend and this type of loan would be in my best interest i have a good credit score and i m very dependable don t hesitate to contact me with any questions
1,5,0,5,negative,32,0,F,to pay off my high credit card amount to be debt free i am paying off my high interest credit cards i have never been late on a payment i have closed the two credit cards that are being paid off with this loan
1,1,0,1,negative,33,0,D,tell your story what is your loan for consolidation tell your story what is your loan for tell your story what is your loan for
1,5,0,1,negative,34,0,D,loan will be used to pay 2012 federal taxes due to the irs
0,1,0,1,neutral,35,0,B,home improvements new roof and plumping
1,1,0,1,negative,36,0,A,purchase car pay off high rate credit card
1,5,0,5,negative,37,0,B,we want to buy a house in a few years i want to be debt free by that time with this loan i can make it happen we want to buy a house in a few years i want to be debt free by that time with this loan i can make it happen thank you everyone for getting us to 70 only 30 to go
0,2,0,2,neutral,38,0,A,getting ready to purchase a home soon and would like to do debt consolidation
1,5,0,1,negative,39,0,C,my big day is approaching the day i have always dreamed my wedding i have alot of plans in mind but my only problem is i can t afford it if i get help from you i ll be so happy because you would made my dream come alive the new begining of my life will come when i say quot i do quot thank you so much
1,1,0,1,negative,40,0,B,consolidation of 5 credit cards with apr ranging from 21 90 18 99 also two overdraft line of credit accounts at 18
1,5,0,5,negative,41,0,A,this is to consolidate my credit cards and fully get out out from under them i have knocked out half of my debt except for student loans in the past three years and want to take out the rest of it
1,1,0,1,negative,42,1,F,pay off credit cards and small loans
1,5,0,5,negative,43,1,C,i had an unexpected medical bill and i really need to consolidate my credits cards into one payment once and for all
1,5,0,5,negative,44,0,C,i have been using credit cards to pay my daughter s medical bills for the last year my daughter now has additional medical coverage so i am looking to consolidate my 3 cards into a single payment at a lower interest rate for quicker payoff
1,5,0,1,negative,45,0,C,consolidation of a few bills to get out of debt
1,1,0,1,negative,46,0,C,need to pay off the rest of my credit cards to help my daughter with her medical bills
0,5,1,5,positive,47,0,C,hello i am requesting a personal loan for 15 000 as payment for graduate college fees for my wife i am employed as a mechanical engineer for last 4 years and 6 months please consider my request for a personal loan thankyou binu eapen
1,5,0,1,negative,48,0,D,consolidating debt from 2 credit cards and a higher interest loan
1,1,0,1,neutral,49,0,A,i am looking to consolidate my bills
1,5,1,5,positive,50,0,D,18 000 will allow me to pay off my credit cards make one monthly payment for 3yrs and finally be debt free i have a secure job this loan will end my living paycheck to paycheck my cards will never get paid at this rate i appreciate your consideration investing in my future thank you
0,3,0,3,neutral,51,0,B,consolidate my debt and prepare for wedding expenses
0,1,0,1,neutral,52,0,D,to help with the moving costs
1,5,1,5,negative,53,0,D,i plan to use loan for paying high interest credit card payments my job is very stable and i am very good at making timely payments
1,5,0,1,negative,54,0,B,i have 3 credit cards that i need to pay off and be done with them
0,5,0,5,positive,55,0,B,i am trying to consolidate my accounts to 1 payment to save money and pay them off earlier than paying each one individually therefore also put the savings away that i save each month
0,1,0,1,neutral,56,0,C,this loan is for debt consolidation credit cards
1,1,0,1,negative,57,1,D,i have currently made a package deal for three houses the sooner i am approved the better thanks
1,5,0,5,negative,58,0,B,consolidate small credit card balances cap one 1966 home depot 226 kohls 333 walmart 572 hwcu 500 already cut up the cards goal is to get out of cc debt once and for all will pay 200 month on this to pay off faster
0,5,1,5,positive,59,0,B,i plan to use these funds to consolidate my debt a lower interest rate and pay it off faster i m very timely with my monthly payments and i anticipate no difficulties fulfilling my end of the agreement my employment status is very stable thank you
1,1,0,1,negative,60,0,B,to pay off loans with high interest rates
1,5,0,5,negative,61,0,C,after revising my accounts i ve realized the best financing options for me is to save money on interest this loan term is based on a 36 month term but my goal is to be really agressive and finish this loan within the next year currently i do not have any mortgage rent my main concern is to just consildate my lines of credit the two steady monthly payments that i do have is just my vespa motorcycle insurance same goes with gas it is never more than 5 dollars to fill a tank of gas for my vespa
1,5,0,5,positive,62,0,F,i need this loan to consolidate my debts on credit cards onto one so that i can concentrate better in paying them off i have never been late on my payment and when i can i pay more than min i had my first child 14 months ago and trying to adjust to the extra expense and need this loan to help me
1,1,0,1,negative,63,0,D,i am paying off a high interest personal loan 3 root canals over the last 12 months and one high interest credit card
1,5,0,5,negative,64,1,B,pay off a small existing loan and pay off high interest credit cards
0,2,0,2,neutral,65,0,A,i have a couple credit cards i d like to consolidate into one payment
1,5,0,1,negative,66,0,B,i would like to consolidate my monthly bills to one payment instead of several payments
1,5,0,5,negative,67,0,A,i need to replasture my pool and install new tile my pool is over 50 years old its a little beat up want to repair before summer
0,2,0,2,neutral,68,0,C,to consolidate credit cards and a private education loan
1,5,0,5,negative,69,0,A,i want to pay off one of my credit cards i used for a dental work in a lower rate i don t have a lot of debt but i my interest rates with my credit cards are higher than i wish
1,5,0,5,positive,70,0,D,hello everyone i have had some hard times a little while ago and i am now trying to move on away from those times and consolidating all my debt into one lower payment will help me a lot in moving into a less stressful future thank you in advance
0,5,0,5,neutral,71,1,D,the requested amount will be used for home improvement on my residence
1,1,0,1,negative,72,1,D,tell your story what is your loan for debt consolidation
1,5,0,5,negative,73,1,A,i m interested in consolidating my credit card debt i had recently updated my house and this helps put it into one payment each month
1,1,0,1,negative,74,0,B,consolidate outstanding credit
1,5,0,5,negative,75,0,B,looking to consolidate and eliminate credit card debt
1,5,1,5,positive,76,1,E,loan is to finally pay off consumer credit debts i made some poor decisions right out of college and learned from my mistakes i have had continuous stable employment for 7 years and have maintained a budget to live by this will finally put me on the last leg to being free of consumer debt
